id,group,gender,age,edu,proficiency,warmth_friendly,warmth_likeable,warmth_helpful,competence_intelligent,competence_successful,competence_ambitious
007857,heritage,male,27,college,20,4,4,3,2,2,2
009704,heritage,male,25,college,20,3,3,3,1,1,2
003531,heritage,female,22,higher,22,4,3,2,3,1,2
002170,heritage,female,28,college,21,4,3,2,1,2,4
002865,heritage,male,26,college,34,4,4,3,2,1,1
007280,heritage,male,23,hs,14,3,4,2,1,2,1
004053,heritage,female,19,college,23,4,3,3,1,3,1
001836,heritage,female,29,higher,26,4,4,4,1,3,2
005265,heritage,male,32,college,15,3,2,3,4,2,1
002169,heritage,male,18,higher,27,3,3,3,1,1,2
005841,heritage,female,23,hs,26,3,4,3,2,1,1
003627,heritage,male,26,college,26,2,3,3,4,3,1
001985,heritage,male,22,hs,13,3,3,1,2,4,4
009435,heritage,female,31,college,18,2,3,4,2,2,1
006652,heritage,female,27,college,15,4,3,3,2,1,1
005667,heritage,female,27,college,21,4,4,3,2,2,1
007094,heritage,female,18,college,25,4,3,4,2,1,1
003022,heritage,female,32,hs,19,3,3,4,3,2,2
006682,heritage,female,28,college,19,4,4,4,2,2,2
006518,heritage,female,35,hs,27,4,2,3,2,1,1
007857,monolingual,male,27,college,30,4,4,3,3,4,3
009704,monolingual,male,25,college,30,3,3,3,4,4,3
003531,monolingual,female,22,higher,32,4,3,2,2,4,3
002170,monolingual,female,28,college,31,4,3,2,4,3,1
002865,monolingual,male,26,college,44,4,4,3,3,4,4
007280,monolingual,male,23,hs,24,3,4,2,4,3,4
004053,monolingual,female,19,college,33,4,3,3,4,3,4
001836,monolingual,female,29,higher,36,4,4,4,4,2,3
005265,monolingual,male,32,college,25,3,2,3,1,3,4
002169,monolingual,male,18,higher,37,3,3,3,4,4,3
005841,monolingual,female,23,hs,36,3,4,3,3,4,4
003627,monolingual,male,26,college,36,2,3,3,1,2,4
001985,monolingual,male,22,hs,23,3,3,1,3,1,1
009435,monolingual,female,31,college,28,2,3,4,3,4,4
006652,monolingual,female,27,college,25,4,3,3,3,4,4
005667,monolingual,female,27,college,31,4,4,3,3,3,4
007094,monolingual,female,18,college,35,4,3,4,3,4,4
003022,monolingual,female,32,hs,29,3,3,4,3,3,3
006682,monolingual,female,28,college,29,4,4,4,3,3,3
006518,monolingual,female,35,hs,37,4,2,3,3,4,4
